user_id,days_since_last_order,recency_days,total_orders,avg_days_between_orders,total_items_ever_ordered,avg_basket_size,rfm_recency_score,rfm_frequency_score,rfm_monetary_score,rfm_segment,total_products_ordered,unique_products_ordered,unique_aisles_shopped,unique_departments_shopped,product_diversity_score,total_reorders,total_items,user_reorder_ratio,favorite_department,favorite_aisle,avg_order_dow,avg_order_hour,preferred_order_day_type,preferred_order_time,gold_processing_time
468,23.0,23.0,7,23.285714285714285,25,3.5714285714285716,2,2,1,HIBERNATING,25,10,9,5,0.4,15,25,0.6,produce,yogurt,1.1428571428571428,14.857142857142858,WEEKDAY,AFTERNOON,2026-02-04 05:32:37.114
546,22.0,22.0,7,22.428571428571427,16,2.2857142857142856,2,2,1,HIBERNATING,16,7,5,3,0.4375,9,16,0.5625,pantry,oils vinegars,2.0,16.142857142857142,WEEKDAY,AFTERNOON,2026-02-04 05:32:37.114
557,30.0,30.0,6,21.166666666666668,59,11.8,2,2,3,HIBERNATING,59,48,33,14,0.8135593220338984,11,59,0.1864406779661017,produce,packaged vegetables fruits,1.8333333333333333,12.5,WEEKDAY,AFTERNOON,2026-02-04 05:32:37.114
561,30.0,30.0,5,16.6,8,1.6,2,2,1,HIBERNATING,8,5,4,3,0.625,3,8,0.375,produce,soft drinks,2.0,11.6,WEEKDAY,AFTERNOON,2026-02-04 05:32:37.114
567,11.0,11.0,22,14.363636363636363,290,13.181818181818182,4,3,3,LOYAL,290,113,50,13,0.3896551724137931,177,290,0.6103448275862069,produce,fresh fruits,1.9545454545454546,15.454545454545455,WEEKDAY,AFTERNOON,2026-02-04 05:32:37.114
622,29.0,29.0,6,20.166666666666668,48,9.6,2,2,2,HIBERNATING,48,25,22,11,0.5208333333333334,23,48,0.4791666666666667,dairy eggs,cereal,1.3333333333333333,15.833333333333334,WEEKDAY,AFTERNOON,2026-02-04 05:32:37.114
655,2.0,2.0,79,4.620253164556962,684,8.658227848101266,5,5,2,LOYAL,684,225,62,17,0.32894736842105265,459,684,0.6710526315789473,produce,fresh fruits,2.8607594936708862,15.430379746835444,WEEKDAY,AFTERNOON,2026-02-04 05:32:37.114
657,7.0,7.0,31,9.03225806451613,324,10.451612903225806,5,4,3,LOYAL,324,191,68,18,0.5895061728395061,133,324,0.4104938271604938,produce,fresh vegetables,4.548387096774194,16.193548387096776,WEEKDAY,AFTERNOON,2026-02-04 05:32:37.114
680,1.0,1.0,7,16.714285714285715,15,2.142857142857143,5,2,1,PROMISING,15,13,11,6,0.8666666666666667,2,15,0.13333333333333333,produce,soy lactosefree,1.1428571428571428,17.285714285714285,WEEKDAY,EVENING,2026-02-04 05:32:37.114
718,30.0,30.0,4,22.0,24,6.0,2,1,2,HIBERNATING,24,20,10,4,0.8333333333333334,4,24,0.16666666666666666,produce,fresh vegetables,4.5,12.5,WEEKDAY,AFTERNOON,2026-02-04 05:32:37.114
722,30.0,30.0,9,14.555555555555555,95,10.555555555555555,2,2,3,HIBERNATING,95,48,23,8,0.5052631578947369,47,95,0.49473684210526314,produce,fresh fruits,2.0,16.11111111111111,WEEKDAY,AFTERNOON,2026-02-04 05:32:37.114
778,2.0,2.0,43,4.1395348837209305,349,8.30952380952381,5,4,2,LOYAL,349,164,69,16,0.4699140401146132,185,349,0.5300859598853869,produce,fresh fruits,3.302325581395349,14.627906976744185,WEEKDAY,AFTERNOON,2026-02-04 05:32:37.114
781,7.0,7.0,8,17.375,23,2.875,5,2,1,PROMISING,23,17,12,5,0.7391304347826086,6,23,0.2608695652173913,alcohol,candy chocolate,2.75,9.625,WEEKDAY,MORNING,2026-02-04 05:32:37.114
788,30.0,30.0,4,20.75,25,6.25,2,1,2,HIBERNATING,25,15,10,7,0.6,10,25,0.4,alcohol,spirits,2.75,15.25,WEEKDAY,AFTERNOON,2026-02-04 05:32:37.114
803,5.0,5.0,8,18.0,105,13.125,5,2,3,PROMISING,105,74,32,14,0.7047619047619048,31,105,0.29523809523809524,produce,fresh vegetables,1.375,13.625,WEEKDAY,AFTERNOON,2026-02-04 05:32:37.114
809,11.0,11.0,22,6.545454545454546,179,8.136363636363637,4,3,2,LOYAL,179,81,29,13,0.45251396648044695,98,179,0.547486033519553,produce,fresh fruits,3.272727272727273,15.090909090909092,WEEKDAY,AFTERNOON,2026-02-04 05:32:37.114
828,0.0,0.0,7,17.571428571428573,11,1.8333333333333333,5,2,1,PROMISING,11,9,7,5,0.8181818181818182,2,11,0.18181818181818182,pantry,oils vinegars,2.5714285714285716,9.571428571428571,WEEKDAY,MORNING,2026-02-04 05:32:37.114
859,5.0,5.0,8,6.75,136,17.0,5,2,4,PROMISING,136,55,34,16,0.40441176470588236,81,136,0.5955882352941176,produce,fresh fruits,3.875,13.625,WEEKDAY,AFTERNOON,2026-02-04 05:32:37.114
863,30.0,30.0,11,18.818181818181817,225,20.454545454545453,2,2,5,HIBERNATING,225,123,44,17,0.5466666666666666,102,225,0.4533333333333333,produce,fresh fruits,2.6363636363636362,14.818181818181818,WEEKDAY,AFTERNOON,2026-02-04 05:32:37.114
932,4.0,4.0,32,10.0625,234,7.3125,5,4,2,LOYAL,234,77,27,11,0.32905982905982906,157,234,0.6709401709401709,dairy eggs,yogurt,2.53125,16.84375,WEEKDAY,AFTERNOON,2026-02-04 05:32:37.114
934,30.0,30.0,6,20.0,8,1.3333333333333333,2,2,1,HIBERNATING,8,4,2,1,0.5,4,8,0.5,beverages,water seltzer sparkling water,3.1666666666666665,11.666666666666666,WEEKDAY,AFTERNOON,2026-02-04 05:32:37.114
940,15.0,15.0,8,15.5,111,13.875,3,2,3,POTENTIAL,111,69,34,13,0.6216216216216216,42,111,0.3783783783783784,produce,laundry,2.0,11.625,WEEKDAY,AFTERNOON,2026-02-04 05:32:37.114
942,12.0,12.0,10,5.4,71,7.888888888888889,4,2,2,PROMISING,71,41,19,10,0.5774647887323944,30,71,0.4225352112676056,produce,fresh fruits,2.0,12.5,WEEKDAY,AFTERNOON,2026-02-04 05:32:37.114
978,14.0,14.0,15,16.2,215,15.357142857142858,4,3,4,LOYAL,215,142,59,17,0.6604651162790698,73,215,0.3395348837209302,produce,baby food formula,1.0666666666666667,11.933333333333334,WEEKDAY,AFTERNOON,2026-02-04 05:32:37.114
1024,1.0,1.0,100,0.66,138,1.38,5,5,1,LOYAL,138,21,15,9,0.15217391304347827,117,138,0.8478260869565217,produce,eggs,3.07,11.48,WEEKDAY,AFTERNOON,2026-02-04 05:32:37.114
1027,7.0,7.0,48,5.666666666666667,476,9.916666666666666,5,4,2,LOYAL,476,180,61,18,0.37815126050420167,296,476,0.6218487394957983,produce,fresh fruits,1.8541666666666667,13.125,WEEKDAY,AFTERNOON,2026-02-04 05:32:37.114
1033,6.0,6.0,5,15.6,66,13.2,5,2,3,PROMISING,66,60,31,12,0.9090909090909091,6,66,0.09090909090909091,produce,fresh fruits,1.6,17.6,WEEKDAY,EVENING,2026-02-04 05:32:37.114
1053,30.0,30.0,5,15.2,23,4.6,2,2,1,HIBERNATING,23,17,16,9,0.7391304347826086,6,23,0.2608695652173913,pantry,spreads,3.4,10.4,WEEKDAY,AFTERNOON,2026-02-04 05:32:37.114
1106,30.0,30.0,9,10.222222222222221,48,5.333333333333333,2,2,2,HIBERNATING,48,18,3,2,0.375,30,48,0.625,snacks,candy chocolate,2.111111111111111,12.777777777777779,WEEKDAY,AFTERNOON,2026-02-04 05:32:37.114
1107,11.0,11.0,33,7.696969696969697,499,15.121212121212121,4,4,4,CHAMPIONS,499,116,54,16,0.23246492985971945,383,499,0.7675350701402806,dairy eggs,fresh vegetables,3.8181818181818183,13.878787878787879,WEEKDAY,AFTERNOON,2026-02-04 05:32:37.114
1117,6.0,6.0,6,13.166666666666666,44,8.8,5,2,2,PROMISING,44,35,24,11,0.7954545454545454,9,44,0.20454545454545456,dairy eggs,milk,2.0,15.166666666666666,WEEKDAY,AFTERNOON,2026-02-04 05:32:37.114
1129,4.0,4.0,4,5.0,57,14.25,5,1,3,PROMISING,57,43,25,12,0.7543859649122807,14,57,0.24561403508771928,produce,missing,3.5,11.0,WEEKDAY,AFTERNOON,2026-02-04 05:32:37.114
1174,30.0,30.0,4,22.5,26,8.666666666666666,2,1,2,HIBERNATING,26,18,14,8,0.6923076923076923,8,26,0.3076923076923077,produce,fresh vegetables,0.75,14.5,WEEKDAY,AFTERNOON,2026-02-04 05:32:37.114
1187,6.0,6.0,4,5.0,56,14.0,5,1,3,PROMISING,56,17,7,4,0.30357142857142855,39,56,0.6964285714285714,dairy eggs,breakfast bakery,0.75,10.25,WEEKDAY,AFTERNOON,2026-02-04 05:32:37.114
1228,29.0,29.0,4,22.25,41,10.25,2,1,3,HIBERNATING,41,36,20,10,0.8780487804878049,5,41,0.12195121951219512,frozen,ice cream ice,2.0,14.25,WEEKDAY,AFTERNOON,2026-02-04 05:32:37.114
1237,5.0,5.0,29,10.206896551724139,639,22.821428571428573,5,3,5,LOYAL,639,205,57,16,0.3208137715179969,434,639,0.6791862284820032,produce,fresh vegetables,1.7586206896551724,17.137931034482758,WEEKDAY,EVENING,2026-02-04 05:32:37.114
1258,22.0,22.0,12,8.25,88,8.0,2,2,2,HIBERNATING,88,73,35,12,0.8295454545454546,15,88,0.17045454545454544,produce,fresh fruits,4.333333333333333,16.5,WEEKDAY,AFTERNOON,2026-02-04 05:32:37.114
1262,30.0,30.0,4,22.25,5,1.25,2,1,1,HIBERNATING,5,4,4,4,0.8,1,5,0.2,beverages,soft drinks,0.75,16.0,WEEKDAY,AFTERNOON,2026-02-04 05:32:37.114
1284,13.0,13.0,11,18.181818181818183,157,14.272727272727273,4,2,3,PROMISING,157,99,43,17,0.6305732484076433,58,157,0.36942675159235666,produce,yogurt,3.6363636363636362,11.454545454545455,WEEKDAY,AFTERNOON,2026-02-04 05:32:37.114
1309,30.0,30.0,16,14.3125,116,7.733333333333333,2,3,2,NEED_ATTENTION,116,70,34,11,0.603448275862069,46,116,0.39655172413793105,produce,fresh vegetables,2.25,15.4375,WEEKDAY,AFTERNOON,2026-02-04 05:32:37.114
1338,6.0,6.0,17,14.823529411764707,290,17.058823529411764,5,3,4,LOYAL,290,185,55,16,0.6379310344827587,105,290,0.3620689655172414,produce,baby food formula,2.9411764705882355,10.0,WEEKDAY,AFTERNOON,2026-02-04 05:32:37.114
1371,30.0,30.0,6,22.666666666666668,14,2.3333333333333335,2,2,1,HIBERNATING,14,11,9,5,0.7857142857142857,3,14,0.21428571428571427,produce,fresh fruits,3.1666666666666665,11.833333333333334,WEEKDAY,AFTERNOON,2026-02-04 05:32:37.114
1408,21.0,21.0,24,13.25,62,2.6956521739130435,3,3,1,POTENTIAL,62,16,11,6,0.25806451612903225,46,62,0.7419354838709677,beverages,soft drinks,2.3333333333333335,12.583333333333334,WEEKDAY,AFTERNOON,2026-02-04 05:32:37.114
1430,25.0,25.0,14,9.0,106,8.153846153846153,2,2,2,HIBERNATING,106,77,30,13,0.7264150943396226,29,106,0.27358490566037735,produce,fresh vegetables,3.0,13.857142857142858,WEEKDAY,AFTERNOON,2026-02-04 05:32:37.114
1437,6.0,6.0,7,19.0,48,6.857142857142857,5,2,2,PROMISING,48,29,22,9,0.6041666666666666,19,48,0.3958333333333333,personal care,protein meal replacements,3.0,10.571428571428571,WEEKDAY,AFTERNOON,2026-02-04 05:32:37.114
1471,8.0,8.0,5,6.8,54,13.5,4,2,3,PROMISING,54,44,28,13,0.8148148148148148,10,54,0.18518518518518517,frozen,frozen meals,2.6,12.4,WEEKDAY,AFTERNOON,2026-02-04 05:32:37.114
1482,8.0,8.0,14,17.142857142857142,93,6.642857142857143,4,2,2,PROMISING,93,43,23,12,0.46236559139784944,50,93,0.5376344086021505,produce,packaged produce,4.071428571428571,12.714285714285714,WEEKDAY,AFTERNOON,2026-02-04 05:32:37.114
1526,8.0,8.0,49,7.3061224489795915,609,12.6875,4,4,3,LOYAL,609,166,53,14,0.27257799671592775,443,609,0.7274220032840722,produce,fresh fruits,3.693877551020408,13.204081632653061,WEEKDAY,AFTERNOON,2026-02-04 05:32:37.114
1562,12.0,12.0,9,6.333333333333333,168,18.666666666666668,4,2,4,PROMISING,168,67,28,12,0.39880952380952384,101,168,0.6011904761904762,produce,packaged vegetables fruits,2.7777777777777777,13.777777777777779,WEEKDAY,AFTERNOON,2026-02-04 05:32:37.114
1566,7.0,7.0,13,6.461538461538462,92,7.076923076923077,5,2,2,PROMISING,92,30,11,6,0.32608695652173914,62,92,0.6739130434782609,beverages,water seltzer sparkling water,2.3076923076923075,11.461538461538462,WEEKDAY,AFTERNOON,2026-02-04 05:32:37.114
1577,30.0,30.0,7,13.857142857142858,140,20.0,2,2,5,HIBERNATING,140,62,22,10,0.44285714285714284,78,140,0.5571428571428572,snacks,energy granola bars,2.4285714285714284,10.428571428571429,WEEKDAY,AFTERNOON,2026-02-04 05:32:37.114
1668,2.0,2.0,4,1.75,21,5.25,5,1,2,PROMISING,21,11,4,2,0.5238095238095238,10,21,0.47619047619047616,produce,packaged produce,1.5,12.5,WEEKDAY,AFTERNOON,2026-02-04 05:32:37.114
1680,7.0,7.0,43,7.558139534883721,96,2.2325581395348837,5,4,1,LOYAL,96,49,24,10,0.5104166666666666,47,96,0.4895833333333333,produce,packaged produce,3.2093023255813953,13.418604651162791,WEEKDAY,AFTERNOON,2026-02-04 05:32:37.114
1686,30.0,30.0,4,20.25,18,4.5,2,1,1,HIBERNATING,18,8,4,4,0.4444444444444444,10,18,0.5555555555555556,produce,fresh fruits,1.25,13.75,WEEKDAY,AFTERNOON,2026-02-04 05:32:37.114
1702,11.0,11.0,13,6.230769230769231,139,10.692307692307692,4,2,3,PROMISING,139,94,46,14,0.6762589928057554,45,139,0.3237410071942446,produce,packaged vegetables fruits,2.6153846153846154,14.923076923076923,WEEKDAY,AFTERNOON,2026-02-04 05:32:37.114
1713,1.0,1.0,7,4.0,32,5.333333333333333,5,2,2,PROMISING,32,23,11,8,0.71875,9,32,0.28125,frozen,frozen meals,3.7142857142857144,12.428571428571429,WEEKDAY,AFTERNOON,2026-02-04 05:32:37.114
1767,12.0,12.0,24,14.75,82,3.4166666666666665,4,3,1,LOYAL,82,48,23,10,0.5853658536585366,34,82,0.4146341463414634,beverages,water seltzer sparkling water,2.4583333333333335,11.75,WEEKDAY,AFTERNOON,2026-02-04 05:32:37.114
1794,6.0,6.0,4,12.25,28,7.0,5,1,2,PROMISING,28,26,20,9,0.9285714285714286,2,28,0.07142857142857142,pantry,preserved dips spreads,3.25,14.0,WEEKDAY,AFTERNOON,2026-02-04 05:32:37.114
1805,3.0,3.0,8,9.125,50,7.142857142857143,5,2,2,PROMISING,50,39,30,12,0.78,11,50,0.22,bakery,bread,2.375,16.0,WEEKDAY,AFTERNOON,2026-02-04 05:32:37.114
1819,4.0,4.0,64,5.6875,890,14.126984126984127,5,5,3,LOYAL,890,142,50,16,0.15955056179775282,748,890,0.8404494382022472,produce,fresh vegetables,3.453125,14.40625,WEEKDAY,AFTERNOON,2026-02-04 05:32:37.114
1839,25.0,25.0,6,11.333333333333334,57,9.5,2,2,2,HIBERNATING,57,44,26,10,0.7719298245614035,13,57,0.22807017543859648,produce,paper goods,3.0,14.5,WEEKDAY,AFTERNOON,2026-02-04 05:32:37.114
1842,30.0,30.0,17,12.235294117647058,88,5.5,2,3,2,NEED_ATTENTION,88,60,33,13,0.6818181818181818,28,88,0.3181818181818182,produce,fresh fruits,3.176470588235294,11.411764705882353,WEEKDAY,AFTERNOON,2026-02-04 05:32:37.114
1854,30.0,30.0,4,16.0,28,9.333333333333334,2,1,2,HIBERNATING,28,21,12,6,0.75,7,28,0.25,dairy eggs,prepared meals,4.5,10.5,WEEKDAY,AFTERNOON,2026-02-04 05:32:37.114
1857,30.0,30.0,4,20.75,52,13.0,2,1,3,HIBERNATING,52,39,23,11,0.75,13,52,0.25,produce,fresh fruits,1.5,14.0,WEEKDAY,AFTERNOON,2026-02-04 05:32:37.114
1860,30.0,30.0,5,20.6,4,1.0,2,2,1,HIBERNATING,4,2,2,2,0.5,2,4,0.5,frozen,frozen produce,2.8,17.2,WEEKDAY,EVENING,2026-02-04 05:32:37.114
1895,15.0,15.0,7,14.285714285714286,72,10.285714285714286,3,2,3,POTENTIAL,72,40,16,10,0.5555555555555556,32,72,0.4444444444444444,produce,fresh fruits,1.7142857142857142,15.428571428571429,WEEKDAY,AFTERNOON,2026-02-04 05:32:37.114
1920,13.0,13.0,12,13.5,216,19.636363636363637,4,2,4,PROMISING,216,92,38,14,0.42592592592592593,124,216,0.5740740740740741,produce,fresh vegetables,2.1666666666666665,15.333333333333334,WEEKDAY,AFTERNOON,2026-02-04 05:32:37.114
1962,28.0,28.0,7,15.428571428571429,40,5.714285714285714,2,2,2,HIBERNATING,40,35,17,8,0.875,5,40,0.125,produce,fresh vegetables,2.0,15.428571428571429,WEEKDAY,AFTERNOON,2026-02-04 05:32:37.114
1995,30.0,30.0,4,15.75,16,4.0,2,1,1,HIBERNATING,16,13,13,10,0.8125,3,16,0.1875,dairy eggs,milk,2.5,17.0,WEEKDAY,EVENING,2026-02-04 05:32:37.114
2000,17.0,17.0,11,8.727272727272727,55,5.0,3,2,2,POTENTIAL,55,33,22,9,0.6,22,55,0.4,dairy eggs,yogurt,2.909090909090909,15.909090909090908,WEEKDAY,AFTERNOON,2026-02-04 05:32:37.114
2024,6.0,6.0,50,7.12,412,8.408163265306122,5,5,2,LOYAL,412,180,57,15,0.4368932038834951,232,412,0.5631067961165048,frozen,fresh fruits,2.12,17.0,WEEKDAY,EVENING,2026-02-04 05:32:37.114
2043,14.0,14.0,5,18.2,21,4.2,4,2,1,PROMISING,21,11,11,5,0.5238095238095238,10,21,0.47619047619047616,dairy eggs,water seltzer sparkling water,3.4,15.8,WEEKDAY,AFTERNOON,2026-02-04 05:32:37.114
2063,27.0,27.0,4,14.0,47,11.75,2,1,3,HIBERNATING,47,22,17,9,0.46808510638297873,25,47,0.5319148936170213,produce,fresh fruits,3.0,14.5,WEEKDAY,AFTERNOON,2026-02-04 05:32:37.114
2095,11.0,11.0,23,12.826086956521738,235,10.681818181818182,4,3,3,LOYAL,235,75,36,12,0.3191489361702128,160,235,0.6808510638297872,produce,fresh fruits,3.1739130434782608,13.391304347826088,WEEKDAY,AFTERNOON,2026-02-04 05:32:37.114
2110,30.0,30.0,8,20.625,39,4.875,2,2,1,HIBERNATING,39,28,19,10,0.717948717948718,11,39,0.28205128205128205,alcohol,red wines,3.625,10.375,WEEKDAY,AFTERNOON,2026-02-04 05:32:37.114
2118,30.0,30.0,27,11.703703703703704,402,14.88888888888889,2,3,3,NEED_ATTENTION,402,141,51,14,0.35074626865671643,261,402,0.6492537313432836,dairy eggs,fresh vegetables,2.6296296296296298,10.88888888888889,WEEKDAY,AFTERNOON,2026-02-04 05:32:37.114
